StationID,STATION NAME,LOCATION,INDUSTRY DOMAIN,STIPEND (UG),STIPEND (PG),NO. OF PROJECT,PREFERRED DISCIPLINES
1192,Pluss Advanced Technologies Pvt. Ltd. (Gurgaon),Gurgaon,,12000,12000,1,"A1 , A4 , H148"
580,Reckitt Benckiser(Gurgaon),Gurgaon,Fin&mgt,30000,0,1,"A7 , H103"
1136,Skoda Auto India Pvt. Ltd.(Gurgaon),Gurgaon,Mechanical,12000,14000,1,-
612,SRF Ltd.(Gurgaon),Gurgaon,Chemical,12000,0,2,A1
627,Tata Consultancy Services(Gurgaon),Gurgaon,IT,10000,0,1,A1
1158,Urban Clap(Gurgaon),Gurgaon,IT,50000,0,1,A7
682,ZS Associates(Gurgaon),Gurgaon,Fin&mgt,25000,0,1,"A1 , A2 , A3 , A4 , A7 , A8 , AA , AB , Any , B2 , B3 , B4 , B5 , C2 , C6 , C7 , D2"
429,Faiveley Transport Rail Technologies India Ltd (FTRTIL)(Hosur),Hosur,Mechanical,10000,0,1,"A4 , AB"
433,Gabrel India Ltd(Hosur),Hosur,Mechanical,0,0,2,A4
1248," Hyderabad Eye Research Foundation (HERF), the research arm of LV Prasad Eye Institute (Hyderabad)",Hyderabad,Health Care,0,0,1,"B1 , H108 , H129 , H146 , H147"
724,Adaequre(Hyderabad),Hyderabad,IT,15000,0,1,"A2 , A3 , A4 , A7 , A8 , AA , AB"
337,Amazon Development Center(Hyderabad),Hyderabad,IT,30000,0,1,A7
1222,Amazon- OPERATIONS(Hyderabad),Hyderabad,,30000,0,1,Any
101,BHARAT DYNAMICS LTD(Hyderabad),Hyderabad,Mechanical,5000,0,1,"A3 , A4 , A7 , AA"
371,Broadcom India Pvt Ltd(Hyderabad),Hyderabad,Electronics  ,24000,0,1,"A3 , A8"
1061,Bundl Technologies Private Limited (Swiggy)(Hyderabad),Hyderabad,Fin&mgt,20000,0,1,"A3 , A4 , A7 , Any"
373,CA Technologies(Hyderabad),Hyderabad,IT,25000,0,1,"A3 , A7 , C6"
379,Centre for DNA Fingerprinting and Diagnostics(Hyderabad),Hyderabad,Health Care,0,0,1,"B1 , H129"
700,Cognitive Scale(Hyderabad),Hyderabad,IT,30000,30000,1,"A7 , H103"
1328,Dr Reddys Laboratories(Hyderabad),Hyderabad,,0,0,1,"A1 , A3 , A4 , A5 , A8 , H146 , H147"
1139,Dupont Knowledge Center(Hyderabad),Hyderabad,Chemical,20000,0,2,"A1 , A7 , B1 , C6 , H148"
1276,Endless Robotics Pvt. Ltd.(Hyderabad),Hyderabad,,5000,0,1,"A3 , A4 , A7 , A8 , C6"
424,Fiorano Software Technologies Pvt. Ltd.(Hyderabad),Hyderabad,IT,20000,0,1,"A7 , Any , B1 , B2 , B3 , B4 , B5 , C6"
1213,Freescale Semiconductor India Pvt. Ltd. (Hyderabad),Hyderabad,,20000,0,1,"A7 , AA"
263,Genpact(Hyderabad),Hyderabad,Fin&mgt,15000,15000,1,Any
1190,Golden Hills Capital India Private Limited(Hyderabad),Hyderabad,Fin&mgt,30000,0,1,"A7 , B3 , C7"
1310,HBL Power Systems Ltd.(Hyderabad),Hyderabad,,20000,20000,1,"A3 , H140"
464,IMI Mobile(Hyderabad),Hyderabad,IT,18000,0,4,"A3 , A7 , A8 , AA , Any , C6"
465,Indian Institute of Chemical Technology(Hyderabad),Hyderabad,Chemical,0,0,5,A1
1071,InsideView Technologies (India) Pvt. Ltd.(Hyderabad),Hyderabad,IT,35000,0,1,"A7 , Any , C6"
476,International Advanced Research Centre for Powder Metallurgy and New Materials(Hyderabad),Hyderabad,Mechanical,0,0,1,"A1 , A3 , A4 , A8 , AA , B2"
489,JDA Software Solutions(Hyderabad),Hyderabad,IT,18000,0,1,Any
437,John F Welch Technology Center (GE)(Hyderabad),Hyderabad,Mechanical,20000,0,1,"A4 , A7 , A8 , AA , H101 , H103 , H106 , H123 , H124 , H140 , H141 , H148"
498,KPMG(Hyderabad),Hyderabad,Fin&mgt,0,0,1,Any
1304,Microsoft (Hyderabad),Hyderabad,,35000,0,1,A7
1066,Mordor Intelligence(Hyderabad),Hyderabad,Fin&mgt,14000,0,1,"A1 , Any , B2"
529,My smart price(Hyderabad),Hyderabad,Others,25000,0,1,Any
1293,Nant Health Technologies India Private Limited(Hyderabad),Hyderabad,,30000,0,1,"A3 , A7 , A8 , AA"
1234,Novartis(Hyderabad),Hyderabad,Health Care,14000,0,1,"A7 , C6"
552,Nvidia Graphics(Hyderabad),Hyderabad,Electronics  ,25000,0,1,"A3 , A7 , AA , C6 , H112 , H140"
557,Oracle India Pvt Ltd.(Hyderabad),Hyderabad,IT,25000,0,3,"A7 , C6 , H103"
570,Polycom Technology (R&D) Centre Pvt. Ltd.(Hyderabad),Hyderabad,Electronics  ,15000,0,1,"A7 , AA , B4 , C6"
1295,Price waterhouse Coopers (PWC)(Hyderabad),Hyderabad,,25000,0,1,"Any , B3"
1151,PURPLE TALK(Hyderabad),Hyderabad,IT,15000,0,3,A7
1250,QUALCOMM INDIA PRIVATE LIMITED(Hyderabad),Hyderabad,,30000,3,1,"A7 , A8 , AA , H124"
1154,Red Pine Signals(Hyderabad),Hyderabad,Electronics  ,0,20000,1,H123
587,Salesforce(Hyderabad),Hyderabad,IT,25000,0,1,A7
597,Silicon Image R&D Pvt Ltd(Hyderabad),Hyderabad,Electronics  ,20000,0,1,"A3 , A7 , AA"
734,Smartrak(Hyderabad),Hyderabad,Electronics  ,20000,0,6,"A2 , A3 , A4 , A8 , AA , H106 , H123 , H124 , H140 , H141 , H143 , H144"
1113,Stellar Software Technologies Pvt Ltd(Hyderabad),Hyderabad,IT,10000,0,1,"A3 , A7"
1309,think3D(Hyderabad),Hyderabad,,12000,0,3,"A4 , A7"
1260,UTC India(Hyderabad),Hyderabad,,25000,25000,1,"H103 , H123 , H124"
666,Worley Parsons India(Hyderabad),Hyderabad,Infrastructure,16000,0,2,"A1 , A2 , A3 , A4 , A8 , Any"
1301,YUPPTV(Hyderabad),Hyderabad,,25000,0,1,"A7 , C6"
1191,Angara Ecommerce Pvt. Ltd.(Jaipur),Jaipur,IT,40000,0,1,A7
725,CEG Limited(Jaipur),Jaipur,Infrastructure,10000,0,1,"H130 , H143 , H144"
538,NBC Bearings(Jaipur),Jaipur,Mechanical,0,0,1,H141
1164,RAJPUTANA CONSTRUCTIONS(Jaipur),Jaipur,Infrastructure,15000,0,1,A2
615,Stellarix Consultancy Services Pvt Ltd(Jaipur),Jaipur,Fin&mgt,10000,0,1,"A1 , A3 , A4 , A5 , A7 , AA , AB , Any , B3 , H129"
807,Tata Motors(Jamshedpur),Jamshedpur,Mechanical,18000,18000,1,"A4 , AB , Any"
1307,MAQ Software(JHABUA),JHABUA,,20000,0,1,"A7 , C6 , H103 , H112"
609,Spicer India Ltd.(Jodalli),Jodalli,Mechanical,8000,0,2,A4
408,Development Consultants  Pvt. Ltd. (DCPL)(Kolkata),Kolkata,Infrastructure,9000,0,1,A2
1170,"HedgeQuants Capital Advisory, LLP(Kolkata)",Kolkata,IT,50000,50000,1,"A7 , C6 , H103 , H112"
499,KPMG(Kolkata),Kolkata,Fin&mgt,15000,0,1,Any
149,Tega Industries(Kolkata),Kolkata,Mechanical,15000,15000,2,"AB , H142"
150,Texmaco Ltd.(Kolkata),Kolkata,Mechanical,3000,0,2,"A4 , H142"
1096,Grasim Industries Ltd.(Kumarapatnam),Kumarapatnam,Chemical,5000,0,4,"A1 , Any"
808,Tata Motors(Lucknow),Lucknow,Mechanical,18000,18000,1,"A4 , AB"
1216,Oniosome Healthcare Pvt. Ltd. (Mohali),Mohali,Health Care,7000,7000,1,H108
1196, UPGRAD(Mumbai),Mumbai,IT,25000,0,3,"A7 , Any , C6"
322,Aditya Birla Corporate IT(Mumbai),Mumbai,IT,15000,0,3,"A7 , Any , C6 , H101 , H103 , H106 , H112 , H123 , H124 , H129 , H130 , H132 , H140 , H141 , H142 , H143 , H144 , H148 , H149"
323,Aditya Birla Corporate World Class Manufacturing(Mumbai),Mumbai,Mechanical,8500,0,1,"A1 , A4 , AB , H142 , H149"
328,Aditya Birla Science & Technology Company Ltd.(Mumbai),Mumbai,Chemical,8500,0,1,"A1 , A4 , B2 , H101"
1156,Admat Innovations(Mumbai),Mumbai,Chemical,17500,0,2,"A1 , Any , B2"
730,Barclays(Mumbai),Mumbai,Fin&mgt,25000,0,1,"B3 , C7 , H149"
1060,Bundl Technologies Private Limited (Swiggy)(Mumbai),Mumbai,Fin&mgt,20000,0,1,Any
374,Carwale (Automotive  Exchange Pvt. Ltd.)(Mumbai),Mumbai,IT,15000,0,1,"A3 , A7 , A8 , AA , B4 , C6"
166,Century Rayon(Mumbai),Mumbai,Chemical,6000,0,1,A1
392,Credit Suisse(Mumbai),Mumbai,Fin&mgt,25000,0,42,"A1 , A2 , A3 , A4 , A5 , A7 , A8 , AA , AB , Any , B1 , B2 , B3 , B4 , B5 , C2 , C6 , C7 , D2"
1254,Cross Analytics Solutions Pvt Ltd.(Mumbai),Mumbai,,30000,0,1,"A7 , A8"
402,DBOI (Deutsche Bank)(Mumbai),Mumbai,Fin&mgt,15000,0,3,"A1 , A2 , A3 , A7 , A8 , AA , AB , Any , B3 , B4 , B5 , C6 , C7"
407,Development Consultants  Pvt. Ltd. (DCPL)(Mumbai),Mumbai,Infrastructure,8000,0,1,"A2 , Any , B2 , B4"
1129,"Dorsch Consult (India) Pvt. Ltd.,(Mumbai)",Mumbai,Infrastructure,12000,0,1,"Any , H144"
783,Exponentia data(Mumbai),Mumbai,IT,25000,0,1,Any
438,Geometric Limited(Mumbai),Mumbai,Mechanical,12000,0,1,"A4 , AB , Any"
1171,HDFC Bank(Mumbai),Mumbai,Fin&mgt,15000,0,6,"A7 , B3 , B4 , C6 , H149"
1288,HENKEL(Mumbai),Mumbai,,0,0,1,-
