Station Ids,STATION NAME,Location,STIPEND (UG),STIPEND (PG),SCHOLARSHIP,No Of Project,REQD DISCIPLINES
365,BOC India Ltd.(Kolkata),Kolkata,6500,0,0,0,-
274,Bosch (Bangalore),Bangalore,15000,0,0,1,A4
370,Broadcom India Pvt Ltd(Bangalore),Bangalore,24000,0,0,19,"A3 , A7 , A8 , AA , B1 , B2 , B3 , B4 , B5 , C6 , H124"
373,CA Technologies(Bangalore),Bangalore,30000,0,0,1,"A3 , A7 , C6"
374,Carwale (Automotive Exchange Pvt. Ltd.)(Mumbai),Mumbai,15000,0,0,1,"A3 , A7 , A8 , AA , C6"
725,CEG Limited(Jaipur),Jaipur,10000,0,0,1,-
375,Central Building Research Institute(Roorkee),Roorkee,4000,0,4000,1,"A2 , Any"
673,Central Electronics Engineering Research Institute(Chennai),Chennai,0,0,8000,1,"A3 , A8 , AA , H123 , H129 , H140 , H141"
674,Central Electronics Engineering Research Institute(Pilani),Pilani,0,0,8000,6,"A3 , A8"
672,Central Leather Research Institute (CLRI)(Chennai),Chennai,0,0,8000,1,"A1 , A2 , A3 , A4 , A5 , A8 , AA , B1 , B2 , B3 , B4"
376,Central Road Research Institute(New Delhi),New Delhi,0,0,8000,1,"A2 , Any , H130"
37,Central Scientific Instruments Organization (Chennai),Chennai,0,0,8000,1,"A3 , A7 , AA"
377,Centre for Artificial Intelligence & Robotics(Bangalore),Bangalore,0,0,8000,11,"A3 , A4 , A7 , A8 , AA , B1 , B2 , B3 , B4 , B5 , H103 , H106 , H112 , H123 , H124 , H140"
378,Centre for Development of Advanced Computing(Pune),Pune,10000,0,0,0,-
243,Centre For Development Of Imaging Technology (Trivandrum),Trivandrum,5000,0,0,1,Any
379,Centre for DNA Fingerprinting and Diagnostics(Hyderabad),Hyderabad,0,0,8000,1,-
166,Century Rayon(Mumbai),Mumbai,6000,0,0,1,A1
381,Chrysler India Automative(Pune),Pune,8000,0,0,0,-
792,Cignex Datamatix(Bangalore),Bangalore,15000,0,0,0,-
694,Cignex(Ahemdabad),Ahemdabad,15000,0,0,1,-
382,CIREL Systems (Bangalore),Bangalore,20000,0,0,2,"A3 , A8 , AA"
383,Cisco Systems (India) Pvt. Ltd.(Bangalore),India,45000,0,0,1,"H103 , H112"
385,Citruspay(Mumbai),Mumbai,30000,0,0,1,"A7 , C6"
700,Cognitive Scale(Hyderabad),Hyderabad,30000,0,0,4,-
764,Common Floor(Bangalore),Bangalore,25000,0,0,1,-
389,Comverse Network System Pvt. Ltd(Gurgaon),Gurgaon,30000,0,0,0,-
778,Coupon Dunia(Mumbai),Mumbai,30000,0,0,1,A7
392,Credit Suisse(Mumbai),Mumbai,25000,0,0,6,Any
393,Credit Suisse(Pune),Pune,25000,0,0,5,"A7 , Any , B1 , B3 , B4 , C2 , C6 , C7 , H149"
397,CSR Ltd.(Noida),Noida,22000,0,0,1,"A7 , Any , C6"
396,CSR(Bangalore),Bangalore,22000,0,0,4,"A3 , A7 , A8 , AA"
398,Cube26(New Delhi),New Delhi,30000,0,0,1,-
756,Curofy(Gurgaon),Gurgaon,35000,0,0,1,-
400,Cypress Semiconductors Tech. India Pvt. Ltd.(Bangalore),Bangalore,25000,0,0,1,-
754,DatEmo(Bangalore),Bangalore,18000,0,0,1,"A7 , C6"
402,DBOI (Deutsche Bank)(Mumbai),Mumbai,15000,0,0,1,"A1 , A3 , A7 , A8 , AA , B3 , B4 , B5 , C7"
406,Derrick Petroleum(Bangalore),Bangalore,20000,0,0,2,"A1 , A2 , A4 , Any , B3"
408,Development Consultants Pvt. Ltd. (DCPL)(Kolkata),Kolkata,9000,0,0,2,-
407,Development Consultants Pvt. Ltd. (DCPL)(Mumbai),Mumbai,8000,0,0,1,A2
215,Divgi Warner Pvt Ltd(Pune),Pune,10000,0,0,1,"A4 , AB"
279,Divgi Warner Pvt Ltd(Sirsi),Sirsi,10000,0,0,1,AB
409,Dow Chemical International Pvt Ltd(Mumbai),Mumbai,15000,0,0,1,A1
410,DreamWorks Animation(Bangalore),Bangalore,35000,0,0,2,"A7 , Any , C6"
411,Eaton Technologies(Pune),Pune,10500,0,0,1,-
412,EBay India Development Centre(Bangalore),Bangalore,45000,0,0,1,"A7 , AA , C6"
413,EMC(Bangalore),Bangalore,25000,0,0,9,"A7 , Any , C6"
414,EnSci - A Unit of Weir Minerals India Pvt. Ltd.(Bangalore),Bangalore,10000,0,0,2,-
415,Ericsson Global India Pvt Ltd(Bangalore),Bangalore,20000,0,0,1,-
416,Ericsson Global India Pvt Ltd(Gurgaon),Gurgaon,20000,0,0,0,-
793,Evalueserve SEZ (Gurgaon) Private Limited(Gurgaon),Gurgaon,15000,0,0,1,H146
429,Faiveley Transport Rail Technologies India Ltd (FTRTIL)(Hosur),Hosur,10000,0,0,2,A4
